2024-03-07 21:01:12,157 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Configure stats pid to 28617
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/.config/wandb/settings
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/settings
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'run_group': 'dev', 'project': 'exercise_10'}
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program_abspath': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py'}
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:_log_setup():526] Logging user logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240307_210112-h58qjt9z/logs/debug.log
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:_log_setup():527] Logging internal logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240307_210112-h58qjt9z/logs/debug-internal.log
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:init():566] calling init triggers
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:init():616] starting backend
2024-03-07 21:01:12,158 INFO    MainThread:28617 [wandb_init.py:init():620] setting up manager
2024-03-07 21:01:12,160 INFO    MainThread:28617 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-07 21:01:12,161 INFO    MainThread:28617 [wandb_init.py:init():628] backend started and connected
2024-03-07 21:01:12,163 INFO    MainThread:28617 [wandb_init.py:init():720] updated telemetry
2024-03-07 21:01:12,170 INFO    MainThread:28617 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-07 21:01:12,715 INFO    MainThread:28617 [wandb_run.py:_on_init():2262] communicating current version
2024-03-07 21:01:12,834 INFO    MainThread:28617 [wandb_run.py:_on_init():2271] got version response 
2024-03-07 21:01:12,834 INFO    MainThread:28617 [wandb_init.py:init():804] starting run threads in backend
2024-03-07 21:01:15,608 INFO    MainThread:28617 [wandb_run.py:_console_start():2241] atexit reg
2024-03-07 21:01:15,609 INFO    MainThread:28617 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-07 21:01:15,609 INFO    MainThread:28617 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-07 21:01:15,609 INFO    MainThread:28617 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-07 21:01:15,609 INFO    MainThread:28617 [wandb_init.py:init():847] run started, returning control to user process
2024-03-07 21:01:24,251 WARNING MsgRouterThr:28617 [router.py:message_loop():77] message_loop has been closed
