2024-03-06 20:31:34,505 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Configure stats pid to 264353
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/.config/wandb/settings
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Loading settings from /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/settings
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'run_group': 'dev', 'project': 'exercise_10'}
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program_abspath': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py', 'program': '/home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/run.py'}
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:_log_setup():526] Logging user logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240306_203134-wn0xv1ep/logs/debug.log
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:_log_setup():527] Logging internal logs to /home/grabe/workspace/nd0821-c2-build-model-workflow-exercises/lesson-4-training-validation-experiment-tracking/exercises/exercise_10/solution/random_forest/wandb/run-20240306_203134-wn0xv1ep/logs/debug-internal.log
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:init():566] calling init triggers
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:init():616] starting backend
2024-03-06 20:31:34,506 INFO    MainThread:264353 [wandb_init.py:init():620] setting up manager
2024-03-06 20:31:34,508 INFO    MainThread:264353 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-06 20:31:34,510 INFO    MainThread:264353 [wandb_init.py:init():628] backend started and connected
2024-03-06 20:31:34,515 INFO    MainThread:264353 [wandb_init.py:init():720] updated telemetry
2024-03-06 20:31:34,528 INFO    MainThread:264353 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-06 20:31:34,997 INFO    MainThread:264353 [wandb_run.py:_on_init():2262] communicating current version
2024-03-06 20:31:35,136 INFO    MainThread:264353 [wandb_run.py:_on_init():2271] got version response 
2024-03-06 20:31:35,136 INFO    MainThread:264353 [wandb_init.py:init():804] starting run threads in backend
2024-03-06 20:31:37,926 INFO    MainThread:264353 [wandb_run.py:_console_start():2241] atexit reg
2024-03-06 20:31:37,927 INFO    MainThread:264353 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-06 20:31:37,927 INFO    MainThread:264353 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-06 20:31:37,927 INFO    MainThread:264353 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-06 20:31:37,929 INFO    MainThread:264353 [wandb_init.py:init():847] run started, returning control to user process
2024-03-06 20:31:43,737 WARNING MsgRouterThr:264353 [router.py:message_loop():77] message_loop has been closed
