Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
25633,0.752,0.792,2,-11.797,1,0.0435,0.00603,0.934,0.1,0.392,136.981,audio_features,311825,4,techno,,|DARK|HARD|TECHNO,|DARK|HARD|TECHNO 
6422,0.782,0.6679999999999999,11,-6.551,0,0.217,0.00308,0.0,0.106,0.675,161.002,audio_features,178939,4,Underground Rap,Bad Habits,, Bad Habits
32769,0.634,0.7879999999999999,1,-5.593999999999999,1,0.0726,0.00105,0.7240000000000001,0.1119999999999999,0.198,137.942,audio_features,406957,4,psytrance,,Psytrance New Releases 2020,Psytrance New Releases 2020 
31324,0.555,0.96,7,-8.914,1,0.0671,0.000446,0.878,0.109,0.496,154.013,audio_features,490658,3,psytrance,,PSYTRANCE BANGERS best new 2020,PSYTRANCE BANGERS best new 2020 
39240,0.423,0.695,0,-5.806,1,0.0638,0.00722,0.0191,0.358,0.0527,149.999,audio_features,240621,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
41524,0.5920000000000001,0.639,5,-6.577000000000001,1,0.07,0.000291,0.396,0.0368,0.2739999999999999,148.011,audio_features,422003,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
13657,0.359,0.889,2,-6.544,1,0.148,7.37e-06,0.00466,0.0695,0.318,157.915,audio_features,289067,4,Emo,Open Your Heart,, Open Your Heart
40068,0.106,0.932,1,-4.584,0,0.0459,0.0020399999999999,0.941,0.104,0.223,149.936,audio_features,243200,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
19885,0.642,0.397,6,-16.842,1,0.0639,0.461,0.000834,0.106,0.7979999999999999,168.128,audio_features,286493,4,Hiphop,What You Won't Do for Love,, What You Won't Do for Love
22502,0.8059999999999999,0.657,1,-5.676,1,0.0704,0.00948,0.517,0.122,0.472,123.015,audio_features,286827,4,techhouse,,Beatoirt Best New Tech House,Beatoirt Best New Tech House 
16677,0.759,0.58,8,-6.7570000000000014,0,0.0986,0.373,0.0,0.381,0.635,121.968,audio_features,242813,4,RnB,Round II,, Round II
13376,0.472,0.6709999999999999,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,165.90400000000002,audio_features,232800,4,Emo,The Reason,, The Reason
24310,0.738,0.539,1,-9.052,1,0.0559999999999999,0.0488,0.8959999999999999,0.0896,0.156,123.997,audio_features,348387,4,techno,,Dark Techno,Dark Techno 
14849,0.8809999999999999,0.517,4,-8.916,1,0.308,0.0115,0.0,0.151,0.7859999999999999,115.084,audio_features,168107,4,Rap,RELENTLESS (feat. Lil Uzi Vert),, RELENTLESS (feat. Lil Uzi Vert)
29446,0.439,0.931,2,-4.503,1,0.114,0.0225,0.0774,0.302,0.288,138.004,audio_features,362383,4,trance,,Top Trance Songs EVER,Top Trance Songs EVER 
27421,0.617,0.936,9,-5.562,0,0.0445,0.00109,0.541,0.255,0.0731,131.97899999999998,audio_features,396392,4,trance,,Trance List | TOP Trance,Trance List | TOP Trance 
3915,0.598,0.695,5,-7.727,0,0.102,0.0317,0.00302,0.089,0.408,130.05100000000002,audio_features,243692,4,Dark Trap,Memory,, Memory
36670,0.653,0.97,11,-3.656,1,0.09,0.0014199999999999,0.833,0.0791,0.324,174.986,audio_features,252543,4,dnb,,Liquid Drum and Bass Sessions 2020,Liquid Drum and Bass Sessions 2020 
19844,0.845,0.326,0,-13.909,1,0.152,0.0134,4.04e-05,0.28,0.368,177.976,audio_features,273093,4,Hiphop,"No Woman, No Cry",," No Woman, No Cry"
37759,0.589,0.8059999999999999,10,-3.431,0,0.0437,0.00311,0.8590000000000001,0.0772,0.235,173.99900000000005,audio_features,267307,4,dnb,,Drum and Bass - Running 2020,Drum and Bass - Running 2020 
37034,0.715,0.703,4,-6.027,0,0.125,0.0243,0.2789999999999999,0.481,0.107,174.02,audio_features,325517,4,dnb,,UKF Drum & Bass - All Uploads,UKF Drum & Bass - All Uploads 
22501,0.5539999999999999,0.83,8,-5.82,1,0.0358,0.000376,0.851,0.363,0.331,122.99,audio_features,220488,4,techhouse,,Tech House 2020,Tech House 2020 
29011,0.598,0.758,0,-10.748,0,0.0892,0.000713,0.78,0.195,0.0671,129.995,audio_features,310204,4,trance,,Top Trance Songs EVER,Top Trance Songs EVER 
30223,0.65,0.927,10,-5.962999999999999,0,0.0349,4.120000000000001e-05,0.8109999999999999,0.352,0.337,140.00799999999998,audio_features,392571,4,psytrance,,Psytrance: From Full on to Forrest Trance,Psytrance: From Full on to Forrest Trance 
5687,0.564,0.8029999999999999,11,-3.285,0,0.345,0.128,0.0,0.0791,0.738,144.989,audio_features,227832,5,Underground Rap,Kilos (feat. Aitch),, Kilos (feat. Aitch)
34387,0.564,0.53,7,-12.9,1,0.0344,0.00191,0.81,0.353,0.0636,160.101,audio_features,217508,4,trap,,I'm a fucking Headbanger,I'm a fucking Headbanger 
